observation_date,DEXTHUS
1994-04-14,25.2700
1994-04-15,25.2800
1994-04-18,25.2800
1994-04-19,25.2500
1994-04-20,25.2475
1994-04-21,25.2400
1994-04-22,25.2400
1994-04-25,25.2300
1994-04-26,25.2400
1994-04-27,25.2400
1994-04-28,25.2400
1994-04-29,25.2400
1994-05-02,25.1900
1994-05-03,25.1800
1994-05-04,25.2100
1994-05-05,25.2300
1994-05-06,25.2000
1994-05-09,25.2100
1994-05-10,25.2300
1994-05-11,25.2500
1994-05-12,25.2500
1994-05-13,25.2500
1994-05-16,25.2300
1994-05-17,25.2300
1994-05-18,25.2200
1994-05-19,25.2300
1994-05-20,25.1900
1994-05-23,25.1700
1994-05-24,25.1850
1994-05-25,25.1800
1994-05-26,25.2000
1994-05-27,25.2100
1994-05-30,
1994-05-31,25.2100
1994-06-01,25.2200
1994-06-02,25.2200
1994-06-03,25.2400
1994-06-06,25.2300
1994-06-07,25.2500
1994-06-08,25.2250
1994-06-09,25.2100
1994-06-10,25.1950
1994-06-13,25.1600
1994-06-14,25.1400
1994-06-15,25.1400
1994-06-16,25.1600
1994-06-17,25.1400
1994-06-20,25.0900
1994-06-21,25.0500
1994-06-22,25.0500
1994-06-23,25.0700
1994-06-24,25.0900
1994-06-27,25.0200
1994-06-28,25.0400
1994-06-29,25.0300
1994-06-30,25.0400
1994-07-01,25.0400
1994-07-04,
1994-07-05,25.0100
1994-07-06,24.9700
1994-07-07,25.0000
1994-07-08,25.0000
1994-07-11,24.9500
1994-07-12,24.9100
1994-07-13,24.9400
1994-07-14,24.9600
1994-07-15,24.9600
1994-07-18,24.9600
1994-07-19,24.9800
1994-07-20,24.9700
1994-07-21,24.9700
1994-07-22,25.0000
1994-07-25,24.9900
1994-07-26,24.9700
